collection_date,route,route_link_index,lead_time_strata,observations,previous_collection_date,route_index
2026-09-11,DEL_MAA,98.12942604851452,5,141,2026-09-10,71.17194146333149
2026-09-12,DEL_MAA,96.7360436507894,5,134,2026-09-11,68.84892036108263
2026-09-13,DEL_MAA,91.11379240291019,5,3180,2026-09-12,62.730862369441795
2026-09-04,HYD_BLR,,5,337,,
2026-09-05,HYD_BLR,100.39000263245006,5,280,2026-09-04,100.0
2026-09-06,HYD_BLR,106.11906203612884,5,326,2026-09-05,106.11906203612884
2026-09-07,HYD_BLR,74.37622740617506,5,290,2026-09-06,78.92735490129117
2026-09-08,HYD_BLR,98.99396146577774,5,136,2026-09-07,78.13331529694182
2026-09-09,HYD_BLR,102.6822811960617,5,158,2026-09-08,80.22907052101128
2026-09-10,HYD_BLR,105.43500656816643,5,191,2026-09-09,84.58952577340712
2026-09-11,HYD_BLR,89.88353140881937,5,173,2026-09-10,76.03205296711174
2026-09-12,HYD_BLR,102.65265180275965,5,189,2026-09-11,78.048918590819
2026-09-13,HYD_BLR,100.05717807375606,5,2969,2026-09-12,78.09354545905667
2026-09-04,HYD_DEL,,5,284,,
2026-09-05,HYD_DEL,102.15180101477726,5,319,2026-09-04,100.0
2026-09-06,HYD_DEL,98.36304943059562,5,351,2026-09-05,98.36304943059562
2026-09-07,HYD_DEL,77.55836213588478,5,244,2026-09-06,76.2887700852807
2026-09-08,HYD_DEL,99.89438211796161,5,124,2026-09-07,76.20819550208348
2026-09-09,HYD_DEL,101.12377210301723,5,153,2026-09-08,77.06460194334873
2026-09-10,HYD_DEL,102.34219006335671,5,175,2026-09-09,78.86960139243125
2026-09-11,HYD_DEL,99.94712100319524,5,171,2026-09-10,78.82789593843101
2026-09-12,HYD_DEL,98.21918738345701,5,156,2026-09-11,77.42411882220405
2026-09-13,HYD_DEL,95.47572102399064,5,3253,2026-09-12,73.92123569197057
2026-09-04,MAA_BOM,,5,349,,
2026-09-05,MAA_BOM,113.03246378697774,5,301,2026-09-04,100.0
2026-09-06,MAA_BOM,82.97308937526736,5,328,2026-09-05,82.97308937526738
2026-09-07,MAA_BOM,81.87669259004056,5,258,2026-09-06,67.93562132024728
2026-09-08,MAA_BOM,105.20114768296658,5,137,2026-09-07,71.46905331445427
2026-09-09,MAA_BOM,98.20474102615562,5,125,2026-09-08,70.1859987213049
2026-09-10,MAA_BOM,99.73634259049477,5,173,2026-09-09,70.00094813524093
2026-09-11,MAA_BOM,96.14112258853636,5,162,2026-09-10,67.29969735983974
2026-09-12,MAA_BOM,96.82642092351102,5,167,2026-09-11,65.16388824588746
2026-09-13,MAA_BOM,94.1960337841848,5,3336,2026-09-12,61.381798187184586
2026-09-04,MAA_DEL,,5,332,,
2026-09-05,MAA_DEL,110.89023146152026,5,282,2026-09-04,100.0
2026-09-06,MAA_DEL,90.43944616330299,5,319,2026-09-05,90.43944616330299
2026-09-07,MAA_DEL,76.572275904206,5,236,2026-09-06,69.2515422424002
2026-09-08,MAA_DEL,99.99271222605326,5,117,2026-09-07,69.24649534654695
2026-09-09,MAA_DEL,96.95827108366315,5,128,2026-09-08,67.14020467404117
2026-09-10,MAA_DEL,105.4928590348137,5,168,2026-09-09,70.82812147247165
2026-09-11,MAA_DEL,96.57492025953545,5,148,2026-09-10,68.4022018333664
2026-09-12,MAA_DEL,100.13839106626406,5,129,2026-09-11,68.4968643698317
2026-09-13,MAA_DEL,86.64740052854309,5,3182,2026-09-12,59.35075242002099
