collection_date,route,advance_days,representative_fare,first_base_fare,first_route_index,calendar_base_fare,calendar_route_index,index_difference
2026-07-03,CCU_DEL,7,9738.27,10115.5,96.27077257673868,9879.91,98.56638370187584,2.2956111251371567
2026-07-03,DEL_BLR,7,10959.835,9534.44,114.94996035425258,10578.72,103.60265703223075,-11.34730332202183
2026-07-03,DEL_BOM,7,9242.325,9592.17,96.35280650780794,9533.93,96.94139772370892,0.5885912159009763
2026-07-03,DEL_CCU,7,9332.23,10379.28,89.91211336431813,9891.904999999999,94.34209083083593,4.429977466517798
2026-07-03,HYD_DEL,7,8108.45,8597.87,94.30765992042214,8497.07,95.42642346126371,1.1187635408415701
2026-07-03,MAA_DEL,7,11493.06,11078.26,103.74427030959734,11078.26,103.74427030959734,0.0
2026-07-03,BLR_DEL,15,9541.19,8999.96,106.01369339419288,8999.96,106.01369339419288,0.0
2026-07-03,BLR_HYD,15,5073.61,5421.8,93.57796303810542,5185.2,97.8479132916763,4.269950253570883
2026-07-03,BOM_BLR,15,7770.61,6400.97,121.3973819592968,7089.44,109.60823421878175,-11.789147740515048
2026-07-03,BOM_DEL,15,9082.76,7879.1,115.27661788782983,8033.74,113.05767923781451,-2.2189386500153176
2026-07-03,CCU_DEL,15,9046.5,7770.5,116.42107972459945,8355.255000000001,108.27317658168421,-8.14790314291524
2026-07-03,DEL_BLR,15,9518.7,8958.545,106.2527452839719,8936.68,106.51270941781512,0.25996413384321215
2026-07-03,DEL_BOM,15,7996.3,7519.805,106.33653399257028,7972.299999999999,100.30104235916863,-6.035491633401648
2026-07-03,DEL_CCU,15,9105.654999999999,8472.825,107.46893745592526,8531.59,106.72869887090212,-0.7402385850231354
2026-07-03,HYD_DEL,15,7890.87,7450.45,105.9113207927038,7321.14,107.78198477286323,1.8706639801594207
2026-07-03,MAA_DEL,15,10285.939999999999,9493.135,108.35135073924471,9318.744999999999,110.37902636030925,2.027675621064546
2026-07-03,BLR_DEL,30,8628.645,7815.85,110.39931677296775,7815.85,110.39931677296775,0.0
2026-07-03,BLR_HYD,30,4607.32,4301.545,107.10849241377225,4560.139999999999,101.034617358239,-6.07387505553325
2026-07-03,BOM_BLR,30,6473.36,6115.514999999999,105.8514287022434,6115.514999999999,105.8514287022434,0.0
2026-07-03,BOM_DEL,30,7516.745,6848.37,109.75962163259287,6988.25,107.56262297427826,-2.1969986583146124
2026-07-03,CCU_DEL,30,7788.8,6733.35,115.67496120059108,7502.62,103.81440083597464,-11.860560364616447
2026-07-03,DEL_BLR,30,8660.21,7623.15,113.60408754911026,7819.21,110.75556226268381,-2.848525286426451
2026-07-03,DEL_BOM,30,8159.42,7151.67,114.09111438307416,7062.97,115.52392265576663,1.4328082726924691
2026-07-03,DEL_CCU,30,7830.549999999999,7713.21,101.52128620898431,7450.09,105.10678394489193,3.585497735907623
2026-07-03,HYD_DEL,30,6543.29,6347.889999999999,103.07818818536553,6342.99,103.15781673942415,0.07962855405861546
2026-07-03,MAA_DEL,30,8757.3,8161.56,107.29933983209091,8088.77,108.26491543213615,0.9655756000452413
2026-07-03,BLR_DEL,45,7502.725,8566.51,87.5820491658797,7502.725,100.0,12.417950834120305
2026-07-03,BLR_HYD,45,4261.8150000000005,4603.35,92.58072925152335,4361.68,97.7104005795932,5.129671328069847
2026-07-03,BOM_BLR,45,5735.87,6142.85,93.37473648225172,5910.59,97.04394992716463,3.669213444912913
2026-07-03,BOM_DEL,45,6308.53,7155.57,88.16250836760733,6577.48,95.91104800014595,7.748539632538623
2026-07-03,CCU_DEL,45,6682.58,7085.785,94.30966364347775,7073.35,94.47546070815102,0.1657970646732707
2026-07-03,DEL_BLR,45,7428.74,8901.25,83.4572672377475,7363.1,100.89147234181254,17.434205104065043
2026-07-03,DEL_BOM,45,6527.125,7146.81,91.32920841606254,6642.674999999999,98.26048993816498,6.931281522102438
2026-07-03,DEL_CCU,45,6650.8099999999995,7506.02,88.6063453068337,6865.219999999999,96.87686629124777,8.270520984414063
2026-07-03,HYD_DEL,45,5861.65,6175.18,94.92273909424502,6123.91,95.71744196110001,0.7947028668549905
2026-07-03,MAA_DEL,45,7720.41,8226.95,93.8429187001258,7682.245000000001,100.49679488222516,6.653876182099367
2026-07-04,BLR_DEL,1,15319.3,12766.82,119.99307580117838,13358.3,114.68001167813269,-5.313064123045692
2026-07-04,BLR_HYD,1,8481.75,7969.66,106.4254936847996,7613.44,111.40496280262273,4.979469117823129
2026-07-04,BOM_BLR,1,11415.23,10536.8,108.3367815655607,10337.22,110.42843240252216,2.0916508369614633
2026-07-04,BOM_DEL,1,12551.51,11787.115,106.48500502455435,11827.42,106.12212976287306,-0.362875261681296
2026-07-04,CCU_DEL,1,14350.105,12308.66,116.58543659504772,12623.55,113.67725402125393,-2.9081825737937947
2026-07-04,DEL_BLR,1,14623.925,13136.69,111.32123084277698,13157.8,111.14263022693764,-0.1786006158393434
2026-07-04,DEL_BOM,1,12731.605,11601.5,109.74102486747404,11927.8,106.73892084038967,-3.0021040270843713
